,Version 11.2.1,Freigegeben: 16.03.2026,,,Aktuelle Aktion: ,Förderung auf den Speicher ,,,,,,,-1500,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Achtung! Die MwSt. kann von der Regierung jederzeit erhoben werden.,,,,,,,,,,,,,
,,Module: AIKO NEOSTAR 3S+,,,,,,,,,,,,,,,,
,,Leistung:,"0,470",kWh,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,M1 oder MB0,MAP0 ,EcoFlow,,,,,,,,,,,,
,,,,10 Jahre Garantie,10 Jahre Garantie,15 Jahre Garantie,,,,,,,,,,,,
Solarfabrik 425,kWp (470 Wp),Anzahl Module,,Huawei S0,Huawei S1,Ecoflow Power Ocean,,,,,,,,,,,,
kWp (425),,,,,,,,,,,,,Huawei LUNA S0 ,,EcoFlow ,,Huawei LUNA S1 ,
,"5,6",12,,11.314 €,12.314 €,12.314 €,,,,,,,,,,,,
#REF!,"6,1",13,,11.614 €,12.614 €,12.614 €,,,,,,,5kWh,"3.990,00 €","5,1 kWh",4.069€,7kWh,"5.586,00 €"
#REF!,"6,6",14,,11.914 €,12.914 €,12.914 €,,,,,,,10kWh,"5.419,00 €","10,2 kWh",5.526€,14kWh,"7.586,00 €"
#REF!,"7,1",15,,12.214 €,13.214 €,13.214 €,,,,,,,15kWh,"6.849,00 €","15,3 kWh",7.029€,21kWh,"9.586,00 €"
#REF!,"7,5",16,,12.514 €,13.514 €,13.514 €,,,,,,,,,"20,4 kWh ",8.932€,,
#REF!,"8,0",17,,12.814 €,13.814 €,13.814 €,,,,,,,,,"25,5 kWh",10.435€,,
#REF!,"8,5",18,,13.114 €,14.114 €,14.114 €,,,,,,,,,"30,6 kWh",11.938€,,
#REF!,"8,9",19,,13.414 €,14.414 €,14.414 €,,,,,,,,,,,,
#REF!,"9,4",20,,13.714 €,14.714 €,14.714 €,,,,,,,,,,,,
#REF!,"9,9",21,,14.014 €,15.014 €,15.014 €,,,,,,,,,,,,
#REF!,"10,3",22,,14.314 €,15.314 €,15.314 €,,,,,,,Smart Meter,,,,,
#REF!,"10,8",23,,14.614 €,15.614 €,15.614 €,,,,,,,Huawei Power Smart Meter,inklusive bei Huawei,,,,
#REF!,"11,3",24,,14.914 €,15.914 €,15.914 €,,,,,,,,,,,,
#REF!,"11,8",25,,15.214 €,16.214 €,16.214 €,,,,,,,,,,,,
#REF!,"12,2",26,,15.514 €,16.514 €,16.514 €,,,,,,,Notstrom inklusive Installation,,,,,
#REF!,"12,7",27,,15.814 €,16.814 €,16.814 €,,,,,,,Huawei Smart Guard inkl. Installation,997€,,,,
#REF!,"13,2",28,,16.114 €,17.114 €,17.114 €,,,,,,,"Ecoflow ""Plus"" Notstrom (Plus ab 15kW)",997€,,,,
#REF!,"13,6",29,,16.414 €,17.414 €,17.414 €,,,,,,,,,,,,
#REF!,"14,1",30,,16.714 €,17.714 €,17.714 €,,,,,,,Zählerschrank Upgrade,1.000€,zusätzlich,,,
#REF!,"14,6",31,,17.014 €,18.014 €,18.014 €,,,,,,,Wandler-Zählerschrank,3.500€,(ab 30kW) zusätzlich,,,
#REF!,"15,0",32,,17.314 €,18.314 €,18.314 €,,,,,,,,,,,,
#REF!,"15,5",33,,17.614 €,18.614 €,18.614 €,,,,,,,Wallboxen 11kW inkl. 10 Meter Kabelwege + Installation,,,,,
#REF!,"16,0",34,,17.914 €,18.914 €,18.914 €,,,,,,,HUAWEI Smart Charger ,"1.497,00 €",zzgl. MwSt,,,
#REF!,"16,5",35,,18.214 €,19.214 €,19.214 €,,,,,,,EcoFlow Wallbox ,"1.497,00 €",zzgl. MwSt,,,
#REF!,"16,9",36,,18.514 €,19.514 €,19.514 €,,,,,,,openWB Series 2 standard+,"2.380,00 €",zzgl. MwSt,,,
#REF!,"17,4",37,,18.814 €,19.814 €,19.814 €,,,,,,,,,,,,
#REF!,"17,9",38,,19.114 €,20.114 €,20.114 €,,,,,,,Optimierer,,,,,
#REF!,"18,3",39,,19.414 €,20.414 €,20.414 €,,,,,,,Huawei SUN2000-600W-P,49€,inkl. Einbau,,,
#REF!,"18,8",40,,19.714 €,20.714 €,20.714 €,,,,,,,,,,,,
#REF!,"19,3",41,,20.014 €,21.014 €,21.014 €,,,,,,,Gerüststellung,,,,,
#REF!,"19,7",42,,20.314 €,21.314 €,21.314 €,,,,,,,Bis 2 Etagen,inklusive,,,,
#REF!,"20,2",43,,20.614 €,21.614 €,21.614 €,,,,,,,jede Etage mehr,600€,,,,
#REF!,"20,7",44,,20.914 €,21.914 €,21.914 €,,,,,,,,,,,,
#REF!,"21,2",45,,21.214 €,22.214 €,22.214 €,,,,,,,SAT-Schüssel entsorgen,inklusive,,,,
#REF!,"21,6",46,,21.514 €,22.514 €,22.514 €,,,,,,,SAT-Schüssel versetzen,300 €,,,,
#REF!,"22,1",47,,21.814 €,22.814 €,22.814 €,,,,,,,,,,,,
#REF!,"22,6",48,,22.114 €,23.114 €,23.114 €,,,,,,,Andere Module,,,,,
#REF!,"23,0",49,,22.414 €,23.414 €,23.414 €,,,,,,,Trina 455Wp im Austausch für AIKO 3S+,-30€,,,,
#REF!,"23,5",50,,22.714 €,23.714 €,23.714 €,,,,,,,,,,,,
#REF!,"24,0",51,,23.014 €,24.014 €,24.014 €,,,,,,,Sonstiges,,,,,
#REF!,"24,4",52,,23.314 €,24.314 €,24.314 €,,,,,,,Feuerwehrschalter,500€,,,,
#REF!,"24,9",53,,23.614 €,24.614 €,24.614 €,,,,,,,Ungeeichter Unzetzähler,150€,,,,
#REF!,"25,4",54,,23.914 €,24.914 €,24.914 €,,,,,,,Geeichter Zähler,300€,,,,
#REF!,"25,9",55,,24.214 €,25.214 €,25.214 €,,,,,,,,,,,,
#REF!,"26,3",56,,24.514 €,25.514 €,25.514 €,,,,,,,,,,,,
#REF!,"26,8",57,,24.814 €,25.814 €,25.814 €,,,,,,,Flachdach über 5°,inklusive,,,,
#REF!,"27,3",58,,25.114 €,26.114 €,26.114 €,,,,,,,Alte Solartermieanlage abbauen,bwna,,,,
#REF!,"27,7",59,,25.414 €,26.414 €,26.414 €,,,,,,,Alte PV-Anlage abbauen,bwna,,,,
#REF!,"28,2",60,,25.714 €,26.714 €,26.714 €,,,,,,,,,,,,
#REF!,"28,7",61,,26.014 €,27.014 €,27.014 €,,,,,,,Zusätzlichen Starkstromanschluss legen,nach Absprache,,,,
#REF!,"29,1",62,,26.314 €,27.314 €,27.314 €,,,,,,,,,,,,
#REF!,"29,6",63,,26.614 €,27.614 €,27.614 €,,,,,,,,,,,,
#REF!,"30,1",64,,26.914 €,27.914 €,27.914 €,,,,,,,Belegung von Asbestdächern,nicht erlaubt,,,,
#REF!,"30,6",65,,27.214 €,28.214 €,28.214 €,,,,,,,Belegung von Schieferdächern,bieten wir nicht an,,,,
#REF!,"31,0",66,,27.514 €,28.514 €,28.514 €,,,,,,,Belegung von Biberschwanzziegeln,nach Absprache,,,,
#REF!,,,,,,,,,,,,,Belegung von Aufsparrendämmung,nach Absprache,,,,
#REF!,,,,,,,,,,,,,Eigengerüststellung,nach Absprache,,,,
#REF!,,,,,,,,,,,,,Tiefbau /Kabel von Wallbox bis Garage,nach Absprache,,,,
#REF!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ablaufdatum Speicherförderung: Gültig bis ausschließlich 01.03.2025,,,Freigegeben von:,,MC 16.03.2026
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zahlungsbedingungen:,,,,,
,,,,,,,,,,,,,0% Anzahlung,,,,,
,,,,,,,,,,,,,50% nach DC-Montage,,,,,
,,,,,,,,,,,,,50% nach Fertigstellung,,,,,